ccode,year,cabbr,count,latitude,longitude,literacy,refugees,lnRefs,lnGDP,lnTrade,PolityLag
483,2004,,0,15.31418991,18.80825996,48.5,259880,12.46797562,7.248947144,4.622701645,-2
483,2005,,1,15.31418991,18.80825996,50,275412,12.52602386,7.291688919,4.549926281,-2
483,2006,,1,15.31418991,18.80825996,51.5,,,7.261909962,4.614947319,-2
483,2007,,1,15.31418991,18.80825996,53,,,7.24054718,4.418086052,-2
484,1995,,0,-0.878413022,15.33876991,75,19400,9.873028755,8.030879021,4.854441643,
484,1996,,0,-0.878413022,15.33876991,76,20500,9.928179741,8.044784546,4.857296467,5
484,1997,COG,0,-0.878413022,15.33876991,77,20700,9.937889099,8.010779381,4.91087532,5
484,1998,,0,-0.878413022,15.33876991,78,27200,10.21097183,8.019528389,5.003285885,-6
484,1999,COG,0,-0.878413022,15.33876991,79,39900,10.59413147,7.966240883,4.878201962,-6
484,2000,,0,-0.878413022,15.33876991,80.5,123200,11.72156429,8.013337135,4.819565296,-6
484,2001,COG,0,-0.878413022,15.33876991,82,119100,11.68771839,8.025260925,4.873128891,-6
484,2002,,0,-0.878413022,15.33876991,83.5,109200,11.60093594,8.047495842,4.908642292,-5
484,2003,,0,-0.878413022,15.33876991,85,91400,11.42300034,8.040651321,4.889863014,-4
484,2004,,0,-0.878413022,15.33876991,86.5,68536,11.13511467,8.052829742,4.953120232,-4
484,2005,,0,-0.878413022,15.33876991,88,66075,11.09854603,8.104513168,4.897528648,-4
484,2006,,0,-0.878413022,15.33876991,89.5,,,8.14323616,4.873932838,-4
484,2007,,0,-0.878413022,15.33876991,91,,,8.106431961,4.752919674,-4
490,1995,,0,-2.920275927,23.77219963,66,1433800,14.17583847,5.851545811,3.955245972,
490,1996,,0,-2.920275927,23.77219963,66,676000,13.42394829,5.815797806,4.099601746,0
490,1997,ZAR,0,-2.920275927,23.77219963,66,297500,12.60316944,5.736214638,3.518980503,0
490,1998,,0,-2.920275927,23.77219963,66,240200,12.38922691,5.699798107,4.138031483,0
490,1999,,0,-2.920275927,23.77219963,66,285300,12.56129646,5.635297298,3.716023922,0
490,2000,,0,-2.920275927,23.77219963,66,332500,12.71439552,5.540410519,3.77863574,0
490,2001,ZAR,0,-2.920275927,23.77219963,66,362000,12.79939938,5.492956161,3.672190905,0
490,2002,,0,-2.920275927,23.77219963,66,333000,12.71589756,5.49861908,3.855228662,0
490,2003,,0,-2.920275927,23.77219963,66,234000,12.36307621,5.524776936,4.085640907,0
490,2004,,0,-2.920275927,23.77219963,66,199323,12.20268154,5.557964325,4.241595268,1
490,2005,,0,-2.920275927,23.77219963,66,204341,12.22754574,5.589076042,4.2608881,3
490,2006,,1,-2.920275927,23.77219963,66,,,5.606778145,4.254254818,4
490,2007,,2,-2.920275927,23.77219963,66,,,5.641123295,4.182254314,5
500,1995,,1,1.218088031,32.52088165,62,229400,12.34322262,6.45999527,3.485022068,
500,1996,,1,1.218088031,32.52088165,63,264300,12.48484039,6.515655041,3.566301823,-4
500,1997,UGA,1,1.218088031,32.52088165,64,188500,12.14685345,6.535339355,3.531013489,-4
500,1998,,1,1.218088031,32.52088165,65,204500,12.22832298,6.553712845,3.402686834,-4
500,1999,UGA,1,1.218088031,32.52088165,66,218200,12.29316711,6.601495743,3.59751153,-4
500,2000,,1,1.218088031,32.52088165,67,236600,12.37412643,6.62604475,3.533114195,-4
500,2001,UGA,1,1.218088031,32.52088165,68,199700,12.20457172,6.643292427,3.594584703,-4
500,2002,,1,1.218088031,32.52088165,69,217300,12.28903389,6.6737957,3.652391434,-4
500,2003,,1,1.218088031,32.52088165,70,230900,12.34974003,6.687893391,3.664428473,-4
500,2004,,1,1.218088031,32.52088165,71,250482,12.43114281,6.708515167,3.719568014,-4
500,2005,,0,1.218088031,32.52088165,72,257256,12.45782661,6.740917683,3.696870565,-4
500,2006,,1,1.218088031,32.52088165,73,,,6.758069992,3.802881002,-1
500,2007,,1,1.218088031,32.52088165,74,,,6.787093639,3.813506126,-1
501,1995,,0,0.422122985,38.00728989,77,234700,12.36606312,7.182343006,4.27312851,
501,1996,,0,0.422122985,38.00728989,78,223600,12.3176136,7.19523716,3.993440628,-5
501,1997,KEN,0,0.422122985,38.00728989,79,232100,12.35492325,7.171171665,3.948205471,-5
501,1998,,0,0.422122985,38.00728989,80,238200,12.38086605,7.178071499,3.865943909,-2
501,1999,KEN,0,0.422122985,38.00728989,81,223700,12.31806087,7.173066616,3.86968112,-2
